Time,"STREAMS(""FEED"").Fv","STREAMS(""DIST"").Fv","STREAMS(""BOTTOMS"").Fv"
Hours,m3/hr,m3/hr,m3/hr
1.56,115.076,56.1244,64.9832
1.57,115.066,56.1272,64.9685
1.58,115.055,56.1299,64.9538
1.59,115.045,56.1327,64.9391
1.6,115.035,56.1355,64.9253
1.61,115.025,56.138,64.9114
1.62,115.015,56.1405,64.8976
1.63,115.005,56.143,64.8837
1.64,114.995,56.1455,64.8698
1.65,114.985,56.148,64.8567
1.66,114.976,56.1505,64.8436
1.67,114.966,56.1528,64.8305
1.68,114.957,56.1551,64.8174
1.69,114.947,56.1574,64.8042
1.7,114.938,56.1598,64.7918
1.71,114.929,56.1621,64.7793
1.72,114.92,56.1644,64.7668
1.73,114.911,56.1665,64.7543
1.74,114.902,56.1687,64.7418
1.75,114.893,56.1708,64.73
1.76,114.884,56.173,64.7181
1.77,114.875,56.1751,64.7062
1.78,114.867,56.1772,64.6943
1.79,114.858,56.1792,64.6824
1.8,114.849,56.1812,64.671
1.81,114.841,56.1833,64.6596
1.82,114.832,56.1853,64.6482
1.83,114.824,56.1873,64.6367
1.84,116.011,56.1723,64.5789
1.85,116.045,56.1457,64.749
1.86,116.069,56.1128,65.103
1.87,116.095,56.0793,65.4231
1.88,116.12,56.0476,65.6489
1.89,116.142,56.0186,65.8095
1.9,116.164,55.9908,65.9496
1.91,116.184,55.9678,66.0381
1.92,116.203,55.9447,66.1266
1.93,116.223,55.9248,66.1973
1.94,116.241,55.908,66.251
1.95,116.258,55.8912,66.3047
1.96,116.276,55.8744,66.3584
1.97,116.292,55.8611,66.4007
1.98,116.309,55.8496,66.4373
1.99,116.324,55.838,66.4739
2,116.34,55.8265,66.5105
2.01,116.356,55.8149,66.5471
2.02,116.371,55.8054,66.5795
2.03,116.386,55.797,66.6098
2.04,116.401,55.7885,66.64
2.05,116.415,55.78,66.6703
2.06,116.43,55.7716,66.7005
2.07,116.444,55.7646,66.7267
2.08,116.458,55.7583,66.7508
2.09,116.471,55.752,66.7749
2.1,116.485,55.7456,66.7991
2.11,116.498,55.7393,66.8232
2.12,116.512,55.7342,66.8449
2.13,116.524,55.7291,66.8653
2.14,116.537,55.7243,66.8858
2.15,116.55,55.7194,66.9063
2.16,116.562,55.7146,66.9267
2.17,116.575,55.7105,66.9456
2.18,116.587,55.7064,66.9637
2.19,116.599,55.7026,66.9819
2.2,116.611,55.6987,67
2.21,116.623,55.6949,67.0181
2.22,116.634,55.6911,67.0349
2.23,116.646,55.6878,67.0517
2.24,116.657,55.6845,67.0682
2.25,116.669,55.6813,67.0847
2.26,116.68,55.678,67.1012
2.27,116.691,55.6747,67.1167
2.28,116.702,55.6718,67.1323
2.29,116.713,55.669,67.1475
2.3,116.724,55.6661,67.1626
2.31,116.735,55.6633,67.1778
2.32,116.745,55.6604,67.193
2.33,116.756,55.6576,67.2073
2.34,116.766,55.655,67.2216
2.35,116.776,55.6524,67.2359
2.36,116.787,55.6498,67.2502
2.37,116.797,55.6473,67.2645
2.38,116.807,55.6447,67.278
2.39,116.817,55.6421,67.2916
2.4,116.827,55.6397,67.3051
2.41,116.836,55.6373,67.3187
2.42,116.846,55.635,67.3322
2.43,116.856,55.6326,67.3451
2.44,116.865,55.6302,67.358
2.45,116.874,55.6278,67.3709
2.46,116.884,55.6256,67.3837
2.47,116.893,55.6234,67.3966
2.48,116.902,55.6212,67.4089
2.49,116.912,55.6189,67.4212
2.5,116.92,55.6167,67.4334
2.51,116.929,55.6146,67.4457
2.52,116.938,55.6125,67.458
2.53,116.947,55.6104,67.4697
2.54,116.956,55.6083,67.4814
2.55,116.964,55.6062,67.4931
2.56,116.973,55.604,67.5048
2.57,116.981,55.6021,67.5165
2.58,116.99,55.6001,67.5277
2.59,116.998,55.5982,67.5389
2.6,117.006,55.5962,67.5501
2.61,117.014,55.5942,67.5613
2.62,117.022,55.5923,67.5725
2.63,117.03,55.5903,67.5832
2.64,117.039,55.5883,67.5939
2.65,117.046,55.5865,67.6046
2.66,117.054,55.5847,67.6153
2.67,117.062,55.5828,67.626
2.68,117.07,55.581,67.6362
2.69,117.077,55.5791,67.6464
2.7,117.085,55.5773,67.6566
2.71,117.092,55.5755,67.6668
2.72,117.099,55.5736,67.6771
